workbook,sheet,year,month,monthNo,plant,le0Ppds,lvPpds,actPpds,ttsaPrice,actPpdsCostAgainstTtsa,estPpdsAccuracy,actPpdsAccuracy,le0Starch,lvStarch,actStarch,le0Price,lvPrice,actPrice,estFarmerContribution,estImpurity,actImpurity
SK Root Sourcing report App.xlsx,RawKPI.SK,2023,Dec,12,Sikhiu,11.5658362989,14.0875912409,14.9815835431,19.3,4.3184164569,0.97,0.9663836946,0.281,0.274,0.2554421142,3.25,3.86,3.8269273747,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Jan,1,Sikhiu,15.2631578947,14.6214689266,14.6169787631,19.075,4.4580212369,0.97,0.977523487,0.2565,0.2655,0.2655212628,3.915,3.882,3.8811186589,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Feb,2,Sikhiu,15.2691107644,14.0701107011,14.0678609508,19.0625,4.9946390492,0.97,0.953472338,0.2564,0.271,0.2709802565,3.915,3.813,3.812112569,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Mar,3,Sikhiu,16.0970464135,14.0079522863,14.0120854561,19.1,5.0879145439,0.97,0.9867665814,0.237,0.2515,0.2515357185,3.815,3.523,3.5245399834,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Apr,4,Sikhiu,17.1903881701,14.4824399261,14.4831250686,18.99,4.5068749314,0.97,0.9495284677,0.2164,0.2164,0.2163670909,3.72,3.134,3.1336716377,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,May,5,Sikhiu,17.4757281553,15.5263157895,15.5307042065,18.7375,3.2067957935,0.97,0.9486033579,0.206,0.1824,0.1824159097,3.6,2.832,2.8330475358,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Jun,6,Sikhiu,17.380952381,14.3114852676,14.3106381134,18.55,4.2393618866,0.97,0.9869405595,0.21,0.1663,0.1663393072,3.65,2.38,2.3804216291,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Jul,7,Sikhiu,16.3174320107,13.9855875831,13.9899375144,18.1,4.1100624856,0.97,0.9755883901,0.2243,0.1804,0.1804033733,3.66,2.523,2.5238319202,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Aug,8,Sikhiu,16.0324925182,12.7548601233,12.7780913669,17.725,4.9469086331,0.97,0.9340710063,0.2339,0.2109,0.2133516033,3.75,2.69,2.7262262796,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Sep,9,Sikhiu,15.9493670886,12.1800529568,12.3606917694,17.0875,4.7268082306,0.97,0.9619215385,0.237,0.2266,0.2301557478,3.78,2.76,2.8448842577,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Oct,10,Sikhiu,15.7741801577,11.9827586207,10.9737724975,15.97,4.9962275025,0.97,0.9221657561,0.2409,0.232,0.2344774693,3.8,2.78,2.5731024035,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Nov,11,Sikhiu,15.9467097295,12.1074380165,10.339609391,14.825,4.485390609,0.97,0.957733195,0.2477,0.242,0.242810863,3.95,2.93,2.5105694796,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2024,Dec,12,Sikhiu,15.1538461538,11.4007782101,9.0682873049,14.325,5.2567126951,0.97,0.9596071222,0.26,0.257,0.2566356807,3.94,2.93,2.3272460851,,,
